motif,ids,obs,null_mean,z,p_enrich,fdr
Astro-Epen+Vascular+Vascular,"(np.int64(4), np.int64(6), np.int64(6))",83,33.7,7.56,0.0004997501249375312,0.0029985007496251873
CTX-CGE GABA+CTX-CGE GABA+Immune,"(np.int64(2), np.int64(2), np.int64(7))",1,0.02,7.0,0.02048975512243878,0.001927607624759049
OPC-Oligo+OPC-Oligo+Immune,"(np.int64(5), np.int64(5), np.int64(7))",12,1.87,6.93,0.0004997501249375312,0.002570143499678732
CTX-MGE GABA+Vascular+Vascular,"(np.int64(3), np.int64(6), np.int64(6))",19,4.73,6.11,0.0009995002498750624,0.001927607624759049
CTX-CGE GABA+CTX-CGE GABA+Astro-Epen,"(np.int64(2), np.int64(2), np.int64(4))",7,0.81,5.82,0.0004997501249375312,0.005397301349325337
CTX-CGE GABA+CTX-MGE GABA+Vascular,"(np.int64(2), np.int64(3), np.int64(6))",9,1.53,5.81,0.0004997501249375312,0.001927607624759049
CTX-MGE GABA+CTX-MGE GABA+Vascular,"(np.int64(3), np.int64(3), np.int64(6))",14,3.24,5.67,0.0004997501249375312,0.001999000499750125
Astro-Epen+OPC-Oligo+Vascular,"(np.int64(4), np.int64(5), np.int64(6))",158,98.34,5.56,0.0004997501249375312,0.0022488755622188904
CTX-CGE GABA+CTX-CGE GABA+OPC-Oligo,"(np.int64(2), np.int64(2), np.int64(5))",3,0.23,5.51,0.0029985007496251873,0.001927607624759049
Vascular+Vascular+Vascular,"(np.int64(6), np.int64(6), np.int64(6))",11,2.34,5.14,0.0004997501249375312,0.0035982008995502244
Astro-Epen+Vascular+Immune,"(np.int64(4), np.int64(6), np.int64(7))",25,8.77,4.82,0.0004997501249375312,0.0028406849206975456
CTX-MGE GABA+OPC-Oligo+Vascular,"(np.int64(3), np.int64(5), np.int64(6))",32,13.55,4.65,0.0004997501249375312,0.0021589205397301347
CTX-CGE GABA+OPC-Oligo+Vascular,"(np.int64(2), np.int64(5), np.int64(6))",12,3.21,4.64,0.0004997501249375312,0.0041517702687117975
